accuracy,precision,recall,predicted tile
0.945,1.0,0.7708333333333334,37
0.95,0.9523809523809523,0.8333333333333334,42
0.95,0.9318181818181818,0.8541666666666666,44
0.94,1.0,0.75,36
0.97,0.8823529411764706,0.9375,34
0.96,0.9285714285714286,0.8125,28
0.95,1.0,0.6875,22
0.96,0.9,0.84375,30
0.975,0.5555555555555556,0.8333333333333334,9
0.96,0.9285714285714286,0.8125,28
0.97,0.875,0.5833333333333334,8
0.97,0.9,0.9473684210526315,40
0.97,0.8611111111111112,0.96875,36
0.965,0.8571428571428571,0.9375,35
0.98,0.5,1.0,8
0.955,0.9259259259259259,0.78125,27
0.965,0.8823529411764706,0.75,17
0.955,0.9259259259259259,0.78125,27
0.965,0.84,0.875,25
0.96,0.9285714285714286,0.8125,28
0.95,0.9583333333333334,0.71875,24
0.965,0.8823529411764706,0.75,17
0.95,1.0,0.6875,22
0.955,0.96,0.75,25
0.945,1.0,0.7105263157894737,27
0.955,0.9130434782608695,0.75,23
0.95,0.9583333333333334,0.71875,24
0.965,0.8787878787878788,0.90625,33
0.97,0.90625,0.90625,32
0.955,1.0,0.71875,23
0.97,0.8214285714285714,0.9583333333333334,28
0.965,0.8787878787878788,0.90625,33
0.96,0.9,0.84375,30
0.95,0.975,0.8125,40
0.955,0.9523809523809523,0.7142857142857143,21
0.975,0.42857142857142855,0.75,7
0.95,0.9583333333333334,0.71875,24
0.97,0.625,0.625,8
0.95,0.9583333333333334,0.71875,24
0.955,0.96,0.75,25
0.955,1.0,0.5909090909090909,13
0.955,0.9393939393939394,0.8157894736842105,33
0.965,0.8787878787878788,0.90625,33
0.965,0.8571428571428571,0.9375,35
0.97,0.8823529411764706,0.9375,34
0.965,0.7272727272727273,0.6666666666666666,11
0.94,1.0,0.75,36
0.96,0.9,0.9375,50
0.94,1.0,0.75,36
0.95,0.9545454545454546,0.7,22
0.955,0.9259259259259259,0.78125,27
0.95,1.0,0.6875,22
0.955,1.0,0.71875,23
0.97,0.8823529411764706,0.9375,34
0.97,0.8823529411764706,0.9375,34
0.98,0.9375,0.9375,32
0.97,0.8421052631578947,1.0,38
0.965,0.8918918918918919,0.9166666666666666,37
0.975,0.5454545454545454,1.0,11
0.94,1.0,0.75,36
0.975,0.5555555555555556,0.8333333333333334,9
0.965,0.8666666666666667,0.7222222222222222,15
0.955,0.9090909090909091,0.8333333333333334,33
