accuracy,precision,recall,predicted tile
0.905,0.7636363636363637,0.875,55
0.835,0.631578947368421,0.75,57
0.875,0.7254901960784313,0.7708333333333334,51
0.845,0.660377358490566,0.7291666666666666,53
0.87,0.5555555555555556,0.9375,54
0.905,0.6666666666666666,0.8125,39
0.88,0.5769230769230769,0.9375,52
0.895,0.6170212765957447,0.90625,47
0.995,0.8571428571428571,1.0,7
0.895,0.6666666666666666,0.6875,33
0.98,0.8333333333333334,0.8333333333333334,12
0.895,0.9047619047619048,0.5,21
0.915,0.8571428571428571,0.5625,21
0.915,0.8571428571428571,0.5625,21
0.99,0.6666666666666666,1.0,6
0.92,0.9444444444444444,0.53125,18
0.95,0.75,0.75,20
0.9,0.7,0.65625,30
0.925,0.6451612903225806,0.8333333333333334,31
0.915,0.7272727272727273,0.75,33
0.92,0.75,0.75,32
0.945,0.6666666666666666,0.9,27
0.885,0.6153846153846154,0.75,39
0.885,0.6046511627906976,0.8125,43
0.865,0.627906976744186,0.7105263157894737,43
0.9,0.6,0.8571428571428571,40
0.87,0.5555555555555556,0.9375,54
0.875,0.5660377358490566,0.9375,53
0.875,0.5660377358490566,0.9375,53
0.87,0.5555555555555556,0.9375,54
0.91,0.575,0.9583333333333334,40
0.88,0.5909090909090909,0.8125,44
0.885,0.6097560975609756,0.78125,41
0.86,0.7380952380952381,0.6458333333333334,42
0.9,0.6,0.8571428571428571,40
1.0,1.0,1.0,4
0.92,1.0,0.5,16
0.965,0.5384615384615384,0.875,13
0.9,0.7,0.65625,30
0.9,0.7,0.65625,30
0.945,0.7619047619047619,0.7272727272727273,21
0.855,0.5882352941176471,0.7894736842105263,51
0.89,0.6388888888888888,0.71875,36
0.905,0.6857142857142857,0.75,35
0.895,0.6486486486486487,0.75,37
0.98,0.9,0.75,10
0.86,0.9166666666666666,0.4583333333333333,24
0.865,1.0,0.4375,21
0.865,1.0,0.4375,21
0.915,0.7407407407407407,0.6666666666666666,27
0.89,0.631578947368421,0.75,38
0.885,0.6153846153846154,0.75,39
0.885,0.6153846153846154,0.75,39
0.885,0.6153846153846154,0.75,39
0.885,0.6153846153846154,0.75,39
0.885,0.6153846153846154,0.75,39
0.885,0.6153846153846154,0.75,39
0.87,0.625,0.6944444444444444,40
0.995,0.8571428571428571,1.0,7
0.85,0.8,0.5,30
0.995,0.8571428571428571,1.0,7
0.955,0.7142857142857143,0.8333333333333334,21
0.905,0.9473684210526315,0.5,19
