accuracy,precision,recall,predicted tile
0.97,1.0,0.875,42
0.945,1.0,0.7708333333333334,37
0.955,0.9534883720930233,0.8541666666666666,43
0.95,1.0,0.7916666666666666,38
0.94,1.0,0.75,36
0.94,1.0,0.75,36
0.95,0.9523809523809523,0.8333333333333334,42
0.945,1.0,0.7708333333333334,37
0.94,1.0,0.75,36
0.94,1.0,0.75,36
0.94,1.0,0.75,36
0.945,0.9743589743589743,0.7916666666666666,39
0.94,1.0,0.75,36
0.94,1.0,0.75,36
0.965,0.8484848484848485,0.9333333333333333,33
0.94,1.0,0.75,36
0.95,0.9318181818181818,0.8541666666666666,44
0.965,0.7272727272727273,0.6666666666666666,11
0.945,0.9743589743589743,0.7916666666666666,39
0.97,0.8,0.8888888888888888,20
0.94,1.0,0.75,36
0.97,0.84375,0.9642857142857143,32
0.955,0.9090909090909091,0.8333333333333334,33
0.95,0.9523809523809523,0.8333333333333334,42
0.955,0.9148936170212766,0.8958333333333334,47
0.975,0.7058823529411765,1.0,17
0.95,0.9318181818181818,0.8541666666666666,44
0.965,0.8181818181818182,0.8571428571428571,22
0.975,0.8275862068965517,1.0,29
0.965,0.8695652173913043,0.8333333333333334,23
0.975,0.6666666666666666,0.8888888888888888,12
0.94,1.0,0.75,36
0.945,1.0,0.7708333333333334,37
0.94,1.0,0.75,36
0.94,1.0,0.75,36
0.955,1.0,0.71875,23
0.95,1.0,0.6875,22
0.95,0.9583333333333334,0.71875,24
0.96,0.9,0.84375,30
0.975,0.9090909090909091,0.9375,33
0.975,0.9090909090909091,0.9375,33
0.965,0.9032258064516129,0.875,31
0.95,0.9583333333333334,0.71875,24
0.95,1.0,0.6875,22
0.955,0.9259259259259259,0.78125,27
0.95,0.9583333333333334,0.71875,24
0.97,0.9333333333333333,0.875,30
0.96,0.9,0.84375,30
0.96,0.9,0.84375,30
0.965,0.9310344827586207,0.84375,29
0.96,0.9,0.84375,30
0.965,0.9310344827586207,0.84375,29
0.965,0.9310344827586207,0.84375,29
0.97,0.9642857142857143,0.84375,28
0.955,0.9259259259259259,0.78125,27
0.965,0.9310344827586207,0.84375,29
0.965,0.9310344827586207,0.84375,29
0.955,0.9259259259259259,0.78125,27
0.96,0.9,0.84375,30
0.965,0.8787878787878788,0.90625,33
0.965,0.9032258064516129,0.875,31
0.96,0.9615384615384616,0.78125,26
0.94,1.0,0.75,36
0.955,1.0,0.8125,39
0.94,1.0,0.75,36
0.945,0.9743589743589743,0.7916666666666666,39
0.95,1.0,0.7916666666666666,38
