accuracy,precision,recall,predicted tile
0.505,0.0967741935483871,0.375,93
0.88,0,0.0,0
0.94,0,0.0,0
0.51,0.07446808510638298,0.3888888888888889,94
0.53,0.2553191489361702,0.5,94
0.62,0.3108108108108108,0.4791666666666667,74
0.65,0.36585365853658536,0.625,82
0.595,0.3225806451612903,0.625,93
0.555,0.28421052631578947,0.5625,95
0.785,0.4864864864864865,0.42857142857142855,37
0.27,0.09316770186335403,1.0,161
0.58,0.275,0.4583333333333333,80
0.49,0.0196078431372549,0.5,102
0.705,0.18604651162790697,0.25,43
0.805,0.23255813953488372,0.625,43
0.565,0.27058823529411763,0.4791666666666667,85
0.39,0.1780821917808219,0.9285714285714286,146
0.595,0.14492753623188406,0.3125,69
0.17,0.06741573033707865,1.0,178
0.295,0.1568627450980392,0.6666666666666666,153
0.345,0.15862068965517243,0.71875,145
0.355,0.21678321678321677,0.6458333333333334,143
0.385,0.2302158273381295,0.6666666666666666,139
0.335,0.17054263565891473,0.4583333333333333,129
0.44,0.1935483870967742,0.6666666666666666,124
0.415,0.24444444444444444,0.6875,135
0.345,0.17829457364341086,0.4791666666666667,129
0.525,0.27184466019417475,0.5833333333333334,103
0.42,0.2196969696969697,0.6904761904761905,132
0.305,0.1337579617834395,0.875,157
0.515,0.18556701030927836,0.5,97
0.33,0.22784810126582278,0.75,158
0.355,0.23529411764705882,0.75,153
0.265,0.15789473684210525,0.9,171
0.48,0.2777777777777778,0.7291666666666666,126
0.425,0.2589928057553957,0.75,139
0.53,0.27884615384615385,0.6041666666666666,104
0.57,0.22058823529411764,0.3125,68
0.235,0.15976331360946747,0.7105263157894737,169
0.51,0.13333333333333333,0.375,90
0.43,0.225,0.5625,120
0.585,0.2839506172839506,0.4791666666666667,81
0.585,0.11940298507462686,0.25,67
0.7,0.25862068965517243,0.46875,58
0.605,0.18666666666666668,0.4375,75
0.59,0.12121212121212122,0.25,66
0.635,0.16393442622950818,0.3125,61
0.565,0.19101123595505617,0.53125,89
0.425,0.18796992481203006,0.78125,133
0.6,0.2073170731707317,0.53125,82
0.585,0.24242424242424243,0.75,99
0.65,0.25,0.4722222222222222,68
0.345,0.2251655629139073,0.7083333333333334,151
0.645,0.3050847457627119,0.375,59
0.23,0.23,1.0,200
0.155,0.1507537688442211,1.0,199
0.3,0.21839080459770116,0.9047619047619048,174
0.4,0.15625,0.625,128
0.255,0.12121212121212122,0.8333333333333334,165
0.14,0.03409090909090909,0.75,176
0.41,0.25,0.7291666666666666,140
0.44,0.25384615384615383,0.6875,130
0.49,0.2711864406779661,0.6666666666666666,118
0.46,0.15789473684210525,0.6,114
0.525,0.25263157894736843,0.5,95
0.48,0.1956521739130435,0.375,92
0.405,0.025210084033613446,0.5,119
0.505,0.21978021978021978,0.4166666666666667,91
0.615,0.2835820895522388,0.3958333333333333,67
0.07,0.05612244897959184,0.9166666666666666,196
0.335,0.1079136690647482,0.625,139
0.705,0.28,0.14583333333333334,25
0.4,0.17272727272727273,0.3958333333333333,110
0.445,0.16129032258064516,0.3125,93
0.505,0.3082706766917293,0.8541666666666666,133
0.5,0.23469387755102042,0.4791666666666667,98
0.45,0.19607843137254902,0.4166666666666667,102
0.335,0.1437908496732026,0.9166666666666666,153
0.155,0.12435233160621761,1.0,193
