accuracy,precision,recall,predicted tile
0.9,0.7,0.65625,30
0.905,0.7407407407407407,0.625,27
0.91,0.7916666666666666,0.59375,24
0.9,0.7,0.65625,30
0.96,0.25,0.5,8
0.905,0.7407407407407407,0.625,27
0.845,0.6122448979591837,0.7142857142857143,49
0.81,0.5892857142857143,0.6875,56
0.85,0.8,0.5,30
0.815,0.6037735849056604,0.6666666666666666,53
0.825,0.6382978723404256,0.625,47
0.9,0.875,0.4375,16
0.91,0.7916666666666666,0.59375,24
0.995,1.0,0.8333333333333334,5
0.965,0.9230769230769231,0.6666666666666666,13
0.825,0.5818181818181818,0.7272727272727273,55
0.995,0.8571428571428571,1.0,7
0.89,0.6388888888888888,0.71875,36
0.83,0.625,0.6521739130434783,48
0.965,0.7647058823529411,0.8125,17
0.915,0.8260869565217391,0.59375,23
0.935,0.72,0.75,25
0.875,0.6410256410256411,0.6944444444444444,39
0.895,0.6666666666666666,0.6875,33
0.905,0.7407407407407407,0.625,27
0.87,0.7666666666666667,0.5476190476190477,30
0.86,0.7058823529411765,0.5714285714285714,34
0.915,0.8260869565217391,0.59375,23
0.89,0.6388888888888888,0.71875,36
0.89,0.6388888888888888,0.71875,36
0.87,0.5535714285714286,0.96875,56
0.875,0.5686274509803921,0.90625,51
0.875,0.5714285714285714,0.875,49
0.96,0.6666666666666666,1.0,24
0.915,0.8571428571428571,0.5625,21
0.895,0.6666666666666666,0.6875,33
0.89,0.625,0.78125,40
0.895,0.6571428571428571,0.71875,35
0.855,0.6585365853658537,0.6428571428571429,41
0.93,0.6785714285714286,0.7916666666666666,28
0.91,0.7692307692307693,0.625,26
0.91,0.71875,0.71875,32
0.885,0.6153846153846154,0.75,39
0.915,0.6363636363636364,0.8076923076923077,33
0.89,0.6388888888888888,0.71875,36
0.895,0.6486486486486487,0.75,37
0.87,0.7058823529411765,0.6,34
0.885,0.6097560975609756,0.78125,41
0.92,0.7857142857142857,0.6875,28
0.895,0.6486486486486487,0.75,37
0.88,0.5869565217391305,0.84375,46
0.9,0.7,0.65625,30
0.895,0.6666666666666666,0.6875,33
0.92,0.8636363636363636,0.59375,22
0.885,0.6153846153846154,0.75,39
0.91,0.7058823529411765,0.75,34
0.91,0.7692307692307693,0.625,26
0.92,0.9444444444444444,0.53125,18
0.915,0.8260869565217391,0.59375,23
0.895,0.6666666666666666,0.6875,33
0.895,0.6571428571428571,0.71875,35
0.895,0.6486486486486487,0.75,37
0.895,0.6486486486486487,0.75,37
0.9,0.8333333333333334,0.7291666666666666,42
0.975,0.7058823529411765,1.0,17
0.83,0.675,0.5625,40
0.82,0.625,0.625,48
0.83,0.6666666666666666,0.5833333333333334,42
