accuracy,precision,recall,predicted tile
0.95,0.975,0.8125,40
0.945,1.0,0.7708333333333334,37
0.97,0.8421052631578947,1.0,38
0.965,0.9032258064516129,0.875,31
0.955,0.9259259259259259,0.78125,27
0.955,0.9259259259259259,0.78125,27
0.95,0.9583333333333334,0.71875,24
0.95,1.0,0.6875,22
0.955,0.9259259259259259,0.78125,27
0.965,0.8571428571428571,0.9375,35
0.96,0.9,0.84375,30
0.95,0.9583333333333334,0.71875,24
0.96,0.9,0.84375,30
0.96,0.9,0.84375,30
0.95,0.9615384615384616,0.7352941176470589,26
0.965,0.8571428571428571,0.9375,35
0.97,0.8611111111111112,0.96875,36
0.965,0.8787878787878788,0.90625,33
0.96,0.9,0.5625,10
0.95,0.9318181818181818,0.8541666666666666,44
0.97,0.5,0.5,6
0.94,1.0,0.75,36
0.945,0.9714285714285714,0.7727272727272727,35
0.975,0.42857142857142855,0.75,7
0.95,1.0,0.6428571428571429,18
0.955,0.9512195121951219,0.8478260869565217,41
0.955,0.9130434782608695,0.75,23
0.945,1.0,0.6764705882352942,23
0.94,1.0,0.75,36
0.945,1.0,0.7708333333333334,37
0.94,1.0,0.75,36
0.965,0.8717948717948718,0.9444444444444444,39
0.965,0.8571428571428571,0.9375,35
0.965,0.8571428571428571,0.9375,35
0.955,0.9259259259259259,0.78125,27
0.97,0.0,0.0,2
0.97,0.625,0.625,8
0.955,0.9259259259259259,0.78125,27
0.955,0.96,0.75,25
0.96,0.9,0.84375,30
0.955,0.9259259259259259,0.78125,27
0.955,0.9714285714285714,0.8095238095238095,35
0.965,0.8787878787878788,0.90625,33
0.965,0.8787878787878788,0.90625,33
0.955,1.0,0.71875,23
0.955,0.9259259259259259,0.78125,27
0.96,0.9,0.84375,30
0.95,0.9583333333333334,0.71875,24
0.965,0.8571428571428571,0.9375,35
0.975,0.8648648648648649,1.0,37
0.965,0.8571428571428571,0.9375,35
0.965,0.8571428571428571,0.9375,35
0.965,0.8571428571428571,0.9375,35
0.965,0.8571428571428571,0.9375,35
0.955,0.9111111111111111,0.8913043478260869,45
0.95,0.9318181818181818,0.8541666666666666,44
0.95,0.9523809523809523,0.8333333333333334,42
0.95,0.9583333333333334,0.71875,24
0.96,0.9,0.84375,30
0.95,0.9583333333333334,0.71875,24
0.95,0.9583333333333334,0.71875,24
0.95,1.0,0.6875,22
0.96,0.9,0.5625,10
