accuracy,precision,recall,predicted tile
0.975,0.8857142857142857,0.96875,35
0.98,0.8888888888888888,1.0,36
0.955,1.0,0.8125,39
0.975,0.9142857142857143,0.9411764705882353,35
0.98,0.6666666666666666,1.0,12
0.97,0.9333333333333333,0.875,30
0.965,0.9310344827586207,0.84375,29
0.97,0.90625,0.90625,32
0.955,1.0,0.71875,23
0.965,0.9310344827586207,0.84375,29
0.965,0.9310344827586207,0.84375,29
0.965,0.9310344827586207,0.84375,29
0.955,1.0,0.71875,23
0.965,0.9310344827586207,0.84375,29
0.965,0.9310344827586207,0.84375,29
0.96,0.9615384615384616,0.78125,26
0.96,0.9615384615384616,0.78125,26
0.955,1.0,0.71875,23
0.955,1.0,0.71875,23
0.975,0.8857142857142857,0.96875,35
0.965,0.9310344827586207,0.84375,29
0.97,0.9333333333333333,0.875,30
0.96,0.9615384615384616,0.78125,26
0.955,1.0,0.7857142857142857,33
0.955,1.0,0.8043478260869565,37
0.98,0.8888888888888888,1.0,36
0.96,1.0,0.75,24
0.97,0.90625,0.90625,32
0.965,0.9310344827586207,0.84375,29
0.97,0.90625,0.90625,32
0.97,0.9333333333333333,0.875,30
0.94,0.8846153846153846,0.71875,26
0.96,0.9615384615384616,0.78125,26
0.96,0.9615384615384616,0.78125,26
0.965,0.9310344827586207,0.84375,29
0.965,0.9629629629629629,0.8125,27
0.955,1.0,0.71875,23
0.855,0.574468085106383,0.75,47
0.965,0.9555555555555556,0.8958333333333334,45
0.905,0.696969696969697,0.71875,33
0.915,0.6666666666666666,0.7857142857142857,33
0.415,0.20512820512820512,0.5,117
0.72,0.4375,0.5833333333333334,64
0.69,0.05,0.375,60
0.375,0.1079136690647482,0.9375,139
0.535,0.1919191919191919,0.59375,99
0.545,0.17582417582417584,0.5,91
0.39,0.16911764705882354,0.71875,136
0.395,0.17037037037037037,0.71875,135
0.39,0.16911764705882354,0.71875,136
0.365,0.1111111111111111,0.6818181818181818,135
0.405,0.0782608695652174,0.4090909090909091,115
0.415,0.06837606837606838,0.5,117
